restaurant_id,name,legal_name,address,phone,is_franchise,is_active,country,client_id,currency_id
26,Miller Ltd,"Hardin, Riggs and Becker","115 Colin Shoal
New Vincenttown, AR 14588",+1-975-349-0252,True,True,UK,1,1
27,Hunter Ltd,"Williams, Davis and Ruiz","502 Morris Centers Suite 934
New Jennifershire, WI 46937",842-203-5641,False,True,India,24,4
28,"Ferguson, Burnett and Stewart","Riley, Bush and Richard","9520 Robert Vista Suite 807
New John, PA 72189",+1-710-248-5367x86168,True,True,UK,30,1
29,Ali-Steele,Watson PLC,"USS Doyle
FPO AE 93358",+1-302-315-5291x82753,False,True,UK,27,1
30,Robertson Ltd,Obrien-Mitchell,"84173 Guerrero Tunnel
Williamsonmouth, WA 31522",+1-429-797-5266,False,True,UK,17,1
31,"Brown, Walker and Smith",Meadows-Perry,"5898 Stark Extension
New Aaron, AL 75785",+1-870-629-9214x32956,False,True,UK,3,1
32,Browning-Bradshaw,"Larson, Weber and Morales","949 Walters Tunnel
Lake Stephenstad, CT 94149",8964002889,False,True,UK,10,1
33,Allen-Ramos,Stewart-Smith,"3409 Joseph Drive
Millerbury, UT 84442",+1-206-313-6589,False,True,India,11,4
34,Miller-Ramirez,"Weaver, Mccullough and Wilson","9025 Gonzales Prairie Suite 910
Gregorymouth, MT 17277",771.665.9812x817,True,True,UK,28,1
35,Patrick Group,Ramirez-King,"Unit 2568 Box 4641
DPO AP 63457",261-609-6078x090,False,True,UK,8,1
36,"Ford, Fields and Meza","Ferguson, Parrish and Burton","USNS Goodman
FPO AE 69965",001-717-760-8706x93955,False,True,UK,19,1
37,"Petty, Gordon and Hardy","Gibbs, Carr and Lawrence","4054 Michael Vista
New Tommy, DE 07737",(801)647-6143,True,True,UK,12,1
38,Brown and Sons,"Espinoza, Reyes and Ochoa","3098 Rhodes Manor
Andreahaven, NH 88055",+1-759-472-7864,False,True,UK,28,1
39,"Rhodes, Gray and Jennings",Murray-Pope,"80431 Richard Islands Apt. 184
Coleville, AR 13910",001-521-250-1053x164,False,True,India,23,4
40,Brown-Christian,Reeves Ltd,"065 Emily Shore
South Lisaborough, SC 06097",(591)584-7590,False,True,UK,25,1
41,Montoya Inc,"Jensen, Sullivan and Johnson","21359 David Rapids
Hectorview, KY 91686",(477)663-2354x7858,False,True,UK,3,1
42,Lewis PLC,"Hernandez, Deleon and Goodwin","386 Kyle Land
West Evelyn, CA 01119",+1-405-253-3575,False,True,UK,8,1
43,Arnold-Freeman,Turner-Ellis,"89769 Miller Spring Apt. 592
Joeview, NJ 30134",001-990-400-1121x59554,False,True,UK,14,1
44,Nielsen-Lee,Arnold-James,"717 James Crossroad Apt. 301
South Adam, VT 95068",211.461.3518,False,True,UK,19,1
45,"Baker, Miller and Roberson","Brown, Baker and Tucker","Unit 0617 Box 3932
DPO AA 92825",(321)583-0815,False,True,UK,21,1
46,Saunders and Sons,Braun-Brown,"3459 Garcia Spring
West Joshuashire, WA 23298",+1-960-922-1811x006,True,True,UK,5,1
47,Lopez and Sons,"Jones, Hines and Williams","4826 Paul Crest
Jamesfort, NM 94119",+1-462-305-6459x8185,False,True,UK,14,1
48,Stewart-Pittman,Romero Ltd,"936 Megan Loaf
Robinsonport, SD 05157",+1-678-240-0769x543,False,True,India,23,4
49,"Collins, Dean and Knight",Moore Inc,"264 Campbell Ridges Suite 818
New Charles, KY 41374",+1-910-391-7575x2892,False,True,UK,13,1
50,"Harper, Smith and Hess",Bautista-Myers,"6041 Brendan Crossroad Suite 304
Travisshire, VA 60396",001-344-784-7988x07210,False,True,UK,12,1
