restaurant_id,date,drinks_payment,food_payment,other_payment,service_charges,delivery_charges,tax_charges,creditcard_tip,sales_id
1,2024-02-09,863.62,1856.35,276.98,62.6,174.49,258.73,9.02,40
1,2024-02-10,836.33,1672.95,325.22,64.45,154.56,244.28,6.4,41
1,2024-02-11,716.96,1604.21,278.31,92.48,74.94,221.35,9.16,42
1,2024-02-12,874.76,1681.61,273.9,77.0,129.02,242.9,9.03,43
1,2024-02-13,719.13,1807.59,318.94,97.42,89.75999999999999,242.61,8.27,44
1,2024-02-14,850.64,1463.5,272.85,79.59,99.52,221.3,8.29,45
1,2024-02-15,775.68,1721.54,341.08,65.95,151.91,244.49,7.25,46
1,2024-02-16,875.15,1574.83,279.08,64.99,142.91,234.98,5.88,47
1,2024-02-17,710.49,1466.03,338.03,97.67,56.08,213.48,5.99,48
1,2024-02-18,745.41,1415.03,217.54,66.8,104.19,203.9,9.76,49
1,2024-02-19,798.4399999999999,1748.24,270.06,86.13,109.44,240.97,7.51,50
1,2024-02-20,738.5699999999999,1555.88,303.03,79.69,100.41,222.21,4.78,51
1,2024-02-21,691.71,1769.11,267.9,70.03,132.86,234.52,8.17,52
1,2024-02-22,782.54,1546.95,302.67,73.71,115.84,225.73,8.37,53
1,2024-02-23,673.03,1583.47,244.42,81.09,87.95,213.6,2.29,54
1,2024-02-24,860.95,1542.22,317.84,65.18,141.77,234.24,2.75,55
1,2024-02-25,749.76,1440.99,384.43,83.65,90.22,219.89,5.18,56
1,2024-02-26,878.9,1874.53,276.85,89.52,123.96,259.5,3.17,57
1,2024-02-27,784.49,1588.36,281.86,73.89,117.71,227.72,3.47,58
1,2024-02-28,861.65,1681.77,273.28,92.28,97.16,240.48,2.3,59
1,2024-02-29,829.64,1463.04,268.41,63.45,129.24,220.32,7.27,60
1,2024-03-01,753.39,1772.22,304.38,72.05,138.88,243.31,2.9,61
1,2024-03-02,832.81,1591.64,280.71,85.5,99.53999999999999,231.22,3.36,62
1,2024-03-03,840.58,1996.18,266.9,80.58,149.23,266.68,3.54,63
1,2024-03-04,831.71,1644.41,309.16,94.4,89.74,237.55,4.77,64
1,2024-03-05,753.58,1809.07,298.3,81.85,122.41,245.22,1.72,65
1,2024-03-06,908.76,1733.47,297.32,85.44,123.13,251.86,2.09,66
1,2024-03-07,883.95,1599.29,342.53,94.88,92.82,241.07,8.98,67
1,2024-03-08,867.98,1600.27,304.97,56.09,165.14,239.56,2.79,68
1,2024-03-09,851.09,1492.49,249.54,74.41,110.55,222.24,6.37,69
1,2024-03-10,873.59,1726.7,306.92,76.58,137.56,249.7,9.02,70
1,2024-03-11,751.26,1717.8,281.7,82.23,110.59,235.49,4.81,71
1,2024-03-12,756.5,1581.03,325.61,60.09,146.18,229.56,9.18,72
1,2024-03-13,731.99,1651.0,279.97,92.96,80.37,226.9,1.32,73
1,2024-03-14,869.12,1521.69,281.27,57.42,152.4,230.55,8.88,74
1,2024-03-15,824.2,1704.93,362.95,74.19,140.82,248.58,9.51,75
1,2024-03-16,744.99,1795.55,275.98,84.9,111.84,241.05,9.57,76
1,2024-03-17,858.89,1626.87,278.55,73.56,129.32,237.37,9.73,77
1,2024-03-18,905.6899999999999,1603.76,285.13,98.1,83.25,238.06,3.37,78
1,2024-03-19,674.35,1942.04,306.93,100.65,91.05,249.19,4.17,79
1,2024-03-20,738.15,1696.31,304.05,76.02,121.87,234.91,7.68,80
1,2024-03-21,876.65,1608.56,270.59,104.95,65.67,234.12,3.94,81
1,2024-03-22,816.92,1685.44,314.78,94.76,92.2,240.34,8.62,82
1,2024-03-23,867.8,1520.41,304.68,84.78,99.74,230.2,2.51,83
1,2024-03-24,911.39,1782.06,267.22,88.0,120.07,253.48,2.38,84
1,2024-03-25,786.25,1578.55,321.95,93.72,81.22,228.95,2.74,85
1,2024-03-26,811.76,1660.02,242.66,82.34,106.76,232.29,9.69,86
1,2024-03-27,799.23,1243.63,347.03,64.62,109.76,205.15,4.71,87
1,2024-03-28,754.64,1591.83,354.22,71.97,126.13,231.91,1.1,88
1,2024-03-29,700.56,1738.41,304.2,86.11,102.09,234.5,1.12,89
1,2024-03-30,913.42,1757.84,298.97,84.83,127.35,254.59,6.68,90
1,2024-03-31,874.47,1459.55,278.77,60.7,139.91,225.09,6.75,91
1,2024-04-01,719.52,1790.02,213.11,86.7,98.88,232.64,2.5,92
1,2024-04-02,709.17,1401.48,306.84,80.3,81.14,206.3,7.93,93
1,2024-04-03,705.97,1599.27,293.77,96.19,67.55,221.01,4.66,94
1,2024-04-04,838.01,1893.46,327.36,72.6,160.67,263.39,9.8,95
1,2024-04-05,673.33,1511.05,311.64,83.04,83.52,213.0,6.04,96
1,2024-04-06,799.84,1780.85,335.49,76.52,138.61,250.49,2.75,97
1,2024-04-07,826.15,1541.08,301.3,95.75,75.34,227.18,6.31,98
1,2024-04-08,900.97,1594.12,269.89,92.38,91.75,235.93,4.47,99
1,2024-04-09,764.41,1415.36,282.11,70.3,105.59,211.02,4.66,100
1,2024-04-10,844.91,1669.02,320.87,70.81,141.85,243.79,8.76,101
1,2024-04-11,885.76,1666.93,294.13,90.87,102.95,243.27,4.94,102
1,2024-04-12,636.87,1712.31,315.95,67.41,131.73,229.15,5.71,103
1,2024-04-13,819.3,1638.07,295.77,68.27,138.81,236.84,1.83,104
1,2024-04-14,838.99,1741.28,301.65,107.19,73.84,245.04,4.83,105
1,2024-04-15,818.6899999999999,1665.83,269.87,66.37,142.7,237.06,6.66,106
1,2024-04-16,918.86,1781.67,328.14,97.75,107.39,258.72,7.84,107
1,2024-04-17,861.49,1767.39,291.96,61.49,169.11,252.12,4.6,108
1,2024-04-18,861.95,1614.82,293.36,82.84,111.37,237.12,1.19,109
1,2024-04-19,859.04,1510.9,294.1,56.03,154.29,229.95,6.21,110
1,2024-04-20,779.0,1935.32,313.88,99.28,104.31,258.54,7.83,111
1,2024-04-21,881.09,1547.85,270.15,68.22,133.47,232.05,1.89,112
1,2024-04-22,799.98,1936.18,288.84,92.3,117.89,258.81,6.09,113
1,2024-04-23,876.66,1562.09,266.45,76.95,116.64,231.89,1.96,114
1,2024-04-24,750.75,1753.31,303.48,75.49000000000001,129.76,241.02,9.09,115
1,2024-04-25,756.99,1468.77,349.48,87.12,83.25,219.62,7.72,116
1,2024-04-26,872.56,1917.17,260.92,84.12,136.86,261.74,3.61,117
1,2024-04-27,733.99,1815.85,345.98,93.63,102.32,247.32,8.16,118
1,2024-04-28,843.36,1524.36,265.9,64.01,135.33,226.63,0.15,119
1,2024-04-29,852.53,1603.19,279.53,83.01,107.52,234.06,9.0,120
1,2024-04-30,623.01,1456.75,329.05,86.1,68.7,205.11,9.41,121
1,2024-05-01,903.37,1773.74,300.05,75.92,145.9,255.88,8.28,122
1,2024-05-02,953.16,1592.83,250.24,64.04,151.56,240.93,7.68,123
1,2024-05-03,656.77,1710.7,299.74,95.12,76.47,227.1,2.86,124
1,2024-05-04,935.98,1508.37,200.44,79.81,104.89,226.41,8.98,125
1,2024-05-05,811.66,1560.29,267.73,73.04,117.94,226.44,2.73,126
1,2024-05-06,756.48,1488.37,290.92,89.4,74.77,215.99,3.5,127
1,2024-05-07,905.15,1644.99,291.72,89.25,105.69,242.96,2.52,128
1,2024-05-08,755.21,1777.12,317.21,57.46,170.06,246.17,1.28,129
1,2024-05-09,806.42,1615.75,331.95,77.89,119.67,236.15,1.3,130
1,2024-05-10,887.91,1643.63,339.79,73.49,140.18,246.8,8.26,131
1,2024-05-11,803.27,1637.68,285.96,73.35,126.01,234.1,6.85,132
1,2024-05-12,880.68,1941.93,295.78,88.27,135.35,267.37,3.52,133
1,2024-05-13,847.72,1741.09,285.43,62.23999999999999,162.93,247.96,3.71,134
1,2024-05-14,844.92,1594.89,241.83,73.68,120.77,230.1,6.74,135
1,2024-05-15,814.56,1582.18,300.61,89.71000000000001,90.25,230.16,2.18,136
1,2024-05-16,802.53,1488.65,312.58,92.53999999999999,75.35,221.74,4.74,137
1,2024-05-17,762.54,1832.32,283.73,97.02,93.86,245.56,7.71,138
1,2024-05-18,814.79,1667.65,311.08,82.76,113.81,239.21,9.01,139
1,2024-05-19,854.09,1692.33,295.97,67.98,148.34,244.69,9.64,140
1,2024-05-20,780.6,1844.92,282.11,63.41,163.94,250.78,9.16,141
1,2024-05-21,817.22,1938.82,313.77,104.04,98.95,261.8,8.64,142
1,2024-05-22,986.23,1479.21,312.18,86.52,104.73,237.52,3.41,143
1,2024-05-23,752.67,1520.15,256.73,70.5,111.98,216.97,2.47,144
1,2024-05-24,783.54,1653.34,327.4,84.74,106.95,236.47,9.42,145
1,2024-05-25,810.15,1716.3,347.23,69.22,148.97,247.34,4.58,146
1,2024-05-26,822.53,1554.4,278.55,86.87,91.82,226.74,7.93,147
1,2024-05-27,786.03,1737.48,281.07,93.06,94.32,239.38,1.87,148
1,2024-05-28,758.46,1656.87,312.2,92.12,88.54,232.63,5.99,149
1,2024-05-29,882.03,1544.04,356.04,102.85,72.5,236.58,8.66,150
1,2024-05-30,772.5,1640.18,299.36,80.49,110.19,232.21,7.87,151
1,2024-05-31,771.61,1635.2,317.42,95.17,82.13,232.12,2.4,152
1,2024-06-01,819.79,1539.56,266.48,51.42,159.73,226.95,4.49,153
1,2024-06-02,839.7,1787.71,300.31,80.42,131.92,251.21,1.15,154
1,2024-06-03,883.63,1547.6,312.16,75.48,123.43,235.37,9.17,155
1,2024-06-04,876.35,1555.39,227.63,94.67,76.6,226.44,8.53,156
1,2024-06-05,886.65,1714.65,272.96,73.37,140.72,247.08,4.95,157
1,2024-06-06,739.97,1487.45,265.02,79.13,90.99,213.03,6.72,158
1,2024-06-07,812.53,1931.68,297.16,77.02,150.11,261.47,3.29,159
1,2024-06-08,790.72,1651.71,303.32,74.37,125.8,235.69,0.65,160
1,2024-06-09,867.4,1535.29,333.42,99.4,74.77,232.83,1.85,161
1,2024-06-10,860.2,1630.3,297.02,113.48,51.76000000000001,236.22,1.91,162
1,2024-06-11,756.25,1616.22,357.46,86.87,99.25,233.29,1.5,163
1,2024-06-12,847.38,1399.86,291.8,93.06,67.8,215.99,7.46,164
1,2024-06-13,803.01,1609.8,286.08,89.63,90.63,230.33,9.15,165
1,2024-06-14,835.74,1542.41,274.97,83.92,97.4,226.77,2.9,166
1,2024-06-15,873.85,1566.23,319.87,82.51,110.99,236.3,1.88,167
1,2024-06-16,829.56,1787.32,287.36,99.54,91.27,247.6,2.09,168
1,2024-06-17,827.86,1666.76,277.56,86.05,105.14,237.1,6.79,169
1,2024-06-18,817.67,1770.77,324.45,81.6,128.12,249.82,4.57,170
1,2024-06-19,916.21,1672.99,295.09,94.99000000000001,98.44,246.22,2.28,171
1,2024-06-20,849.05,1671.54,328.94,97.87,89.24,242.92,7.58,172
1,2024-06-21,830.28,1365.54,318.64,75.2,101.05,215.28,9.63,173
1,2024-06-22,791.55,1628.75,328.66,67.04,140.82,236.54,5.29,174
1,2024-06-23,984.0,1952.48,306.77,97.25,129.84,277.65,1.93,175
1,2024-06-24,905.62,1350.62,328.41,68.67,121.11,221.96,2.52,176
1,2024-06-25,937.68,1513.2,232.28,75.99,116.33,230.04,7.23,177
1,2024-06-26,732.53,1624.0,283.84,89.98,84.06,225.16,8.72,178
1,2024-06-27,718.53,1652.34,312.05,87.96000000000001,92.4,229.05,9.93,179
1,2024-06-28,992.33,1751.6,315.2,75.44,155.02,263.16,3.66,180
1,2024-06-29,860.11,1704.43,370.55,85.88,121.72,251.42,8.73,181
1,2024-06-30,851.36,1560.93,313.07,71.9,128.71,234.07,7.0,182
1,2024-07-01,780.22,1934.67,261.43,80.82,135.97,255.48,4.94,183
1,2024-07-02,918.79,1525.07,323.96,83.31,110.19,236.92,4.11,184
1,2024-07-03,880.56,1670.52,265.15,90.37,100.84,240.61,0.02,185
1,2024-07-04,863.48,1806.88,329.62,131.83,36.4,253.47,3.47,186
1,2024-07-05,827.73,1795.37,226.59,71.34,142.27,245.04,3.94,187
1,2024-07-06,816.84,1555.16,273.12,70.94,122.64,227.1,5.35,188
1,2024-07-07,820.63,1800.31,328.93,89.84,115.31,252.41,4.2,189
1,2024-07-08,893.24,1789.71,314.64,90.73,118.29,256.54,1.8,190
1,2024-07-09,842.33,1690.21,285.49,67.0,147.83,242.62,6.0,191
1,2024-07-10,758.39,1476.5,292.34,85.39,81.95,215.55,6.26,192
1,2024-07-11,735.15,1715.42,294.35,70.83,132.88,235.9,9.56,193
1,2024-07-12,795.69,1682.92,290.45,92.4,92.1,236.29,8.59,194
1,2024-07-13,771.38,1467.58,312.01,93.78,67.53,216.98,6.45,195
1,2024-07-14,857.8299999999999,1687.65,274.82,90.6,100.85,240.9,8.05,196
1,2024-07-15,854.6800000000001,1527.19,272.74,78.69,108.12,227.32,3.71,197
1,2024-07-16,826.24,1566.19,330.77,91.59,89.12,232.31,2.79,198
1,2024-07-17,717.4499999999999,1549.17,278.01,57.42,139.65,219.32,7.36,199
1,2024-07-18,932.99,1551.66,276.05,101.13,73.78,234.85,4.96,200
1,2024-07-19,817.65,1754.04,351.41,53.32,185.68,252.99,4.58,201
1,2024-07-20,855.35,1440.34,294.74,91.02,77.0,220.67,1.46,202
1,2024-07-21,838.38,1752.56,296.11,97.26,94.21,246.3,7.75,203
1,2024-07-22,922.52,1681.36,268.37,78.02,131.17,246.51,5.01,204
1,2024-07-23,854.99,1527.87,281.94,90.81,84.88,227.24,2.83,205
1,2024-07-24,950.58,1558.12,334.34,73.45,137.42,244.3,8.66,206
1,2024-07-25,799.97,1871.31,371.29,75.56,153.14,261.73,2.78,207
1,2024-07-26,853.8100000000001,1541.17,225.4,76.5,108.99,224.45,3.27,208
1,2024-07-27,836.64,1596.43,339.16,70.44,136.35,238.31,5.02,209
1,2024-07-28,770.04,1448.77,333.13,74.63,106.01,218.61,6.77,210
1,2024-07-29,741.82,1785.06,266.63,100.53,78.34,237.79,1.91,211
1,2024-07-30,925.97,1797.36,231.16,83.63,128.18,253.32,8.48,212
1,2024-07-31,959.78,1722.79,299.5,94.47,109.23,254.87,5.99,213
1,2024-08-01,901.89,1789.77,283.4,89.51,118.5,254.66,6.04,214
1,2024-08-02,822.11,1822.33,337.07,106.18,85.81,253.86,0.19,215
1,2024-08-03,805.53,1614.19,357.16,93.96,89.72,236.82,4.91,216
1,2024-08-04,689.58,1706.33,357.58,90.33,94.66,235.07,8.8,217
1,2024-08-05,805.7099999999999,1545.29,330.69,81.38,105.44,229.48,8.54,218
1,2024-08-06,781.05,1696.02,302.52,78.67999999999999,120.58,238.31,0.72,219
1,2024-08-07,726.27,1629.21,351.97,102.73,65.3,230.01,3.24,220
1,2024-08-08,783.77,1692.37,272.87,93.35,88.18,234.48,0.06,221
1,2024-08-09,853.3199999999999,1899.41,307.88,94.5,117.05,261.79,9.78,222
1,2024-08-10,892.37,1600.12,272.81,92.92,90.72,235.91,1.72,223
1,2024-08-11,839.13,1609.22,319.62,89.99,96.84,236.4,7.75,224
1,2024-08-12,777.0600000000001,1688.78,319.3,94.36,89.77,237.56,5.2,225
1,2024-08-13,866.74,1522.17,244.82,64.85,133.66,226.59,9.61,226
1,2024-08-14,897.48,1468.75,312.89,79.42,109.06,229.37,8.87,227
1,2024-08-15,799.0799999999999,1801.21,275.57,80.63,126.38,246.64,9.13,228
1,2024-08-16,896.62,1786.99,225.93,61.11,168.69,251.16,8.16,229
1,2024-08-17,776.58,1594.64,251.06,85.87,90.5,223.89,5.45,230
1,2024-08-18,828.13,1755.5,310.0,84.03999999999999,121.29,247.93,0.28,231
1,2024-08-19,885.1899999999999,1429.49,327.54,110.93,42.35,223.63,4.16,232
1,2024-08-20,880.46,1835.59,281.53,109.31,81.12,255.04,1.51,233
1,2024-08-21,822.22,1498.12,329.52,55.95,153.09,228.71,7.7,234
1,2024-08-22,937.91,1590.73,279.53,97.59,85.67,239.35,0.64,235
1,2024-08-23,755.16,1613.01,305.28,84.96,97.42,228.48,0.93,236
1,2024-08-24,724.93,1438.86,315.1,67.55,112.79,212.71,2.24,237
1,2024-08-25,842.04,1667.74,319.78,78.78,125.42,242.72,3.43,238
1,2024-08-26,860.26,1855.85,367.6,89.61,129.16,264.2,0.38,239
1,2024-08-27,863.81,1755.45,236.17,104.19,77.17,242.95,5.36,240
1,2024-08-28,888.73,1648.19,221.76,73.96,127.97,236.85,5.83,241
1,2024-08-29,814.13,1376.27,342.1,70.82,111.64,217.2,2.2,242
1,2024-08-30,857.24,1545.81,295.84,64.36,141.18,232.35,1.17,243
1,2024-08-31,953.85,1837.55,243.57,90.03999999999999,123.42,259.86,9.81,244
1,2024-09-01,1055.02,1591.95,314.82,87.38,121.43,253.63,7.09,245
1,2024-09-02,804.5,1521.97,345.05,83.78,99.60000000000001,228.41,8.48,246
1,2024-09-03,834.6999999999999,1698.02,306.13,96.5,90.86,242.08,3.36,247
1,2024-09-04,759.3,1581.82,258.33,80.63,98.65,222.31,6.93,248
1,2024-09-05,826.15,1541.48,270.34,83.36,97.1,225.48,9.66,249
1,2024-09-06,967.35,1504.52,274.12,64.38,145.84,236.51,1.96,250
1,2024-09-07,778.9499999999999,1767.14,282.67,80.76,121.37,242.47,1.99,251
1,2024-09-08,849.82,1710.78,372.92,78.81,135.73,251.84,8.81,252
1,2024-09-09,944.5,1647.29,326.94,91.4,109.05,249.56,2.35,253
1,2024-09-10,863.03,1614.57,275.29,90.86,93.57000000000001,235.0,4.24,254
1,2024-09-11,853.04,1478.79,298.26,88.57,85.86,224.37,3.14,255
1,2024-09-12,684.36,1580.83,336.85,68.9,122.4,223.48,2.46,256
1,2024-09-13,801.13,1631.87,300.67,81.25,110.93,234.05,0.1,257
1,2024-09-14,922.63,1772.55,303.23,101.22,97.42,255.77,5.14,258
1,2024-09-15,880.13,1659.63,296.58,102.25,79.14,241.44,7.67,259
1,2024-09-16,822.31,1584.79,294.36,86.86,96.4,230.8,2.18,260
1,2024-09-17,849.86,1939.01,299.14,92.25,124.27,264.37,9.55,261
1,2024-09-18,880.29,1454.29,381.82,80.25,111.11,232.6,4.03,262
1,2024-09-19,841.34,1566.34,300.57,93.02,84.76,230.91,8.59,263
1,2024-09-20,662.95,1540.42,274.33,94.49000000000001,58.83,210.49,9.85,264
1,2024-09-21,733.15,1624.18,284.67,67.81,128.61,227.07,4.55,265
1,2024-09-22,884.04,1490.18,275.93,80.02,104.95,226.82,9.32,266
1,2024-09-23,721.28,1775.87,198.26,56.25,157.07,232.7,6.44,267
1,2024-09-24,929.9,1563.59,271.29,90.45,95.62,236.06,5.09,268
1,2024-09-25,715.38,1815.27,247.81,82.91,112.02,237.88,1.06,269
1,2024-09-26,803.21,1684.83,305.28,81.74,115.83,239.26,8.82,270
1,2024-09-27,858.4300000000001,1603.76,259.36,96.28,79.57,231.81,7.89,271
1,2024-09-28,819.14,1654.38,298.59,85.81,105.6,237.09,1.26,272
1,2024-09-29,776.98,1472.56,316.5,65.79,124.99,220.55,1.24,273
1,2024-09-30,896.4,1663.85,309.94,103.89,79.25,244.25,8.41,274
1,2024-10-01,872.34,1441.28,247.17,107.07,41.94,216.78,5.32,275
1,2024-10-02,859.75,1717.6,318.88,65.72,158.17,249.58,2.27,276
1,2024-10-03,869.57,1890.1,267.29,77.7,147.3,260.14,9.96,277
1,2024-10-04,896.41,1716.04,325.41,73.84,146.12,252.62,8.24,278
1,2024-10-05,802.18,1554.48,310.21,97.31,72.06,226.89,2.89,279
1,2024-10-06,773.59,1721.88,286.05,82.87,112.4,238.15,9.2,280
1,2024-10-07,891.82,1767.99,310.93,91.28,114.57,254.13,6.05,281
1,2024-10-08,819.11,1792.7,315.77,93.14,106.53,250.18,1.8,282
1,2024-10-09,738.65,1879.3,306.88,74.18,144.18,251.46,8.94,283
1,2024-10-10,849.88,1614.43,296.32,109.21,57.65,234.19,7.29,284
1,2024-10-11,870.71,1736.98,301.18,74.07,142.72,250.06,6.13,285
1,2024-10-12,984.32,1735.69,260.94,74.19,149.74,256.37,5.73,286
1,2024-10-13,887.83,1688.01,288.84,97.57,91.33,244.28,4.28,287
1,2024-10-14,746.02,1912.34,299.19,94.82,106.09,252.69,5.14,288
1,2024-10-15,806.4399999999999,1680.87,254.23,65.13,143.9,236.03,9.99,289
1,2024-10-16,790.71,1833.47,242.53,79.59,127.53,245.9,8.8,290
1,2024-10-17,771.52,1790.41,278.13,81.87,120.28,243.37,2.32,291
1,2024-10-18,827.57,1629.45,322.76,97.17,83.69,236.84,8.1,292
1,2024-10-19,732.9300000000001,1495.74,321.31,66.64,121.73,219.05,2.89,293
1,2024-10-20,714.91,1637.02,278.43,63.59,135.89,226.38,8.3,294
1,2024-10-21,771.5,1713.76,277.95,84.76,106.73,236.38,5.42,295
1,2024-10-22,908.6700000000001,1681.59,307.42,84.34,121.12,248.23,0.53,296
1,2024-10-23,846.05,1751.55,277.28,80.61,126.24,246.51,1.2,297
1,2024-10-24,856.44,1704.15,311.88,101.47,84.31,244.68,2.84,298
1,2024-10-25,874.86,1544.74,293.29,76.0,119.28,232.66,5.33,299
1,2024-10-26,865.76,1425.93,261.89,61.98,131.36,219.74,9.01,300
1,2024-10-27,891.2,1679.23,281.54,88.3,108.59,243.9,9.85,301
1,2024-10-28,824.46,1771.53,309.22,93.74,103.07,248.15,5.71,302
1,2024-10-29,727.2,1730.77,265.06,55.5,161.3,235.19,5.77,303
1,2024-10-30,801.29,1734.56,256.24,108.49,62.25,237.02,4.66,304
1,2024-10-31,846.67,1736.37,307.16,93.17,102.68,246.88,6.84,305
1,2024-11-01,857.75,1788.73,305.92,111.72,71.8,250.86,0.89,306
1,2024-11-02,871.8100000000001,1601.49,373.74,98.94,86.81,242.62,2.93,307
1,2024-11-03,774.06,1683.42,343.16,88.43,103.2,239.39,1.88,308
1,2024-11-04,819.86,1545.93,283.88,97.34,70.28,225.38,5.88,309
1,2024-11-05,914.36,1646.82,247.35,56.29,168.29,242.69,3.66,310
1,2024-11-06,784.11,1652.98,279.29,56.62,158.44,234.5,5.47,311
1,2024-11-07,838.44,1632.21,252.12,99.85,72.56,231.6,2.65,312
1,2024-11-08,723.99,1666.44,275.77,89.21,88.21,227.5,9.66,313
1,2024-11-09,882.9,1750.19,277.5,78.0,135.02,249.91,1.42,314
1,2024-11-10,802.6,1546.55,300.37,82.76,99.48,226.54,5.33,315
1,2024-11-11,765.9300000000001,1518.8,268.42,80.61,94.06,218.22,1.54,316
1,2024-11-12,852.97,1611.92,327.55,121.65,35.92,236.02,3.73,317
1,2024-11-13,806.83,1522.9,271.74,83.09,93.99000000000001,222.26,0.83,318
1,2024-11-14,842.59,1684.05,301.19,112.36,58.07,239.88,2.69,319
1,2024-11-15,759.67,1638.37,240.47,70.0,123.87,226.58,7.59,320
1,2024-11-16,724.45,1452.55,317.14,74.11,101.24,213.55,4.07,321
1,2024-11-17,956.87,1578.07,297.04,79.51,124.2,242.87,1.82,322
1,2024-11-18,923.35,1537.2,295.24,93.4,88.83,235.04,1.2,323
1,2024-11-19,851.48,1582.25,319.12,103.45,68.43,234.01,9.12,324
1,2024-11-20,742.24,1638.83,291.79,71.78,123.75,229.49,9.65,325
1,2024-11-21,871.67,1599.12,253.9,94.36,83.73,232.23,6.48,326
1,2024-11-22,883.29,1506.57,311.08,65.39,139.3,232.46,8.61,327
1,2024-11-23,871.95,1574.54,304.32,57.34,160.41,237.47,0.62,328
1,2024-11-24,768.87,1714.69,286.12,95.87,85.25999999999999,236.04,7.99,329
1,2024-11-25,897.7,1431.92,320.23,97.7,69.53,225.38,6.95,330
1,2024-11-26,821.08,1818.91,325.5,77.9,140.77,254.75,2.32,331
1,2024-11-27,806.74,1510.74,275.01,82.69,93.86,221.54,4.47,332
1,2024-11-28,928.06,1849.49,310.46,103.76,101.31,263.46,6.77,333
1,2024-11-29,643.35,1474.3,284.03,88.0,64.18,204.32,4.73,334
1,2024-11-30,805.61,1533.35,298.5,96.36,71.02,224.37,0.3,335
1,2024-12-01,887.14,1864.86,313.26,92.99,120.53,262.31,4.4,336
1,2024-12-02,727.53,1633.95,295.44,87.44,90.78,226.81,1.38,337
1,2024-12-03,775.48,1831.05,283.25,77.32,134.33,248.12,5.64,338
1,2024-12-04,905.41,1764.75,289.15,75.3,145.31,254.4,8.49,339
1,2024-12-05,756.57,1568.15,311.84,89.37,84.95,224.87,3.18,340
1,2024-12-06,892.29,1767.12,293.35,101.55,92.17,251.7,4.32,341
1,2024-12-07,819.94,1631.99,271.65,63.32,145.74,234.61,5.27,342
