expense_id,restaurant_id,exp_date,bills,vendors,wage_advances,repairs,sundries,total_expense
114,1,2024-04-23,508.86,65.36,625.42,143.75,82.05,1425.44
115,1,2024-04-24,28.15,116.54,758.18,274.68,21.2,1198.75
116,1,2024-04-25,695.81,41.23,469.39,1646.76,76.95,2930.14
117,1,2024-04-26,330.3,8.23,982.96,24.27,59.99,1405.75
118,1,2024-04-27,59.66,108.28,412.98,408.5,62.66,1052.08
119,1,2024-04-28,705.9,18.43,325.9,687.22,3.79,1741.24
120,1,2024-04-29,331.94,41.7,898.12,1078.85,48.64,2399.25
121,1,2024-04-30,605.66,18.5,584.57,1694.42,58.62,2961.77
122,1,2024-05-01,692.78,25.62,263.64,1787.06,10.07,2779.17
123,1,2024-05-02,588.16,98.27,156.21,1603.2,60.75,2506.59
124,1,2024-05-03,147.77,193.11,285.63,1967.26,73.88,2667.65
125,1,2024-05-04,636.77,105.47,679.32,1345.34,23.08,2789.98
126,1,2024-05-05,123.56,62.42,637.55,1679.56,50.78,2553.87
127,1,2024-05-06,118.49,110.32,783.61,791.26,25.17,1828.85
128,1,2024-05-07,311.13,172.82,766.43,739.31,74.36,2064.05
129,1,2024-05-08,634.22,118.63,489.03,720.0,5.91,1967.79
130,1,2024-05-09,995.02,96.15,288.06,319.45,61.48,1760.16
131,1,2024-05-10,962.78,147.49,422.49,1694.29,21.79,3248.84
132,1,2024-05-11,352.67,151.75,930.89,1615.53,69.69,3120.53
133,1,2024-05-12,331.67,153.81,328.47,1794.84,4.75,2613.54
134,1,2024-05-13,593.18,100.21,358.54,859.4,7.59,1918.92
135,1,2024-05-14,637.13,43.06,827.27,1281.82,41.53,2830.81
136,1,2024-05-15,172.69,24.06,535.11,1216.34,92.34,2040.54
137,1,2024-05-16,62.74,31.35,92.68,674.15,98.02,958.94
138,1,2024-05-17,744.63,184.72,761.62,1767.62,49.61,3508.2
139,1,2024-05-18,302.1,129.06,231.69,1356.28,60.51,2079.64
140,1,2024-05-19,189.88,179.82,810.21,409.56,79.47,1668.94
141,1,2024-05-20,286.07,6.31,710.35,1022.03,49.41,2074.17
142,1,2024-05-21,12.16,85.61,136.87,843.49,94.83,1172.96
143,1,2024-05-22,585.7,84.7,844.06,768.01,27.32,2309.79
144,1,2024-05-23,47.73,7.89,489.59,803.47,11.55,1360.23
145,1,2024-05-24,176.8,173.25,889.7,1615.02,74.45,2929.22
146,1,2024-05-25,979.1,9.09,647.62,249.0,41.23,1926.04
147,1,2024-05-26,175.1,70.47,254.7,316.68,79.45,896.4
148,1,2024-05-27,260.53,31.23,535.88,698.22,37.23,1563.09
149,1,2024-05-28,901.7,178.68,272.79,1805.1,77.86,3236.13
150,1,2024-05-29,67.9,24.04,840.81,225.09,92.29,1250.13
151,1,2024-05-30,417.49,16.26,554.47,1157.79,91.91,2237.92
152,1,2024-05-31,607.88,164.14,126.87,1965.83,42.17,2906.89
153,1,2024-06-01,922.93,161.71,903.9,1848.3,65.69,3902.53
154,1,2024-06-02,287.42,155.23,742.5,1288.78,97.34,2571.27
155,1,2024-06-03,988.95,33.53,497.8,397.01,36.72,1954.01
156,1,2024-06-04,476.51,178.13,168.33,1779.95,98.91,2701.83
157,1,2024-06-05,525.57,195.55,606.68,449.83,98.54,1876.17
158,1,2024-06-06,488.06,59.53,63.09,358.63,4.65,973.96
159,1,2024-06-07,329.3,115.18,407.04,387.54,19.41,1258.47
160,1,2024-06-08,489.71,152.21,37.0,554.59,31.22,1264.73
161,1,2024-06-09,20.9,91.38,647.11,1469.8,45.08,2274.27
162,1,2024-06-10,18.51,27.22,173.42,26.39,17.23,262.77
163,1,2024-06-11,337.22,168.43,369.56,1360.38,59.96,2295.55
164,1,2024-06-12,9.86,101.66,344.88,937.29,71.38,1465.07
165,1,2024-06-13,400.59,197.14,95.29,818.67,55.76,1567.45
166,1,2024-06-14,979.5,164.6,121.3,776.14,79.42,2120.96
167,1,2024-06-15,771.84,161.4,845.33,1321.17,76.1,3175.84
168,1,2024-06-16,608.74,76.89,826.45,1973.67,68.83,3554.58
169,1,2024-06-17,368.18,190.21,915.26,1671.97,97.93,3243.55
170,1,2024-06-18,514.86,19.53,803.87,1686.49,17.9,3042.65
171,1,2024-06-19,142.74,184.09,379.54,10.5,2.04,718.91
172,1,2024-06-20,524.98,29.45,488.56,1732.07,84.05,2859.11
173,1,2024-06-21,783.98,157.27,859.71,4.9,50.24,1856.1
174,1,2024-06-22,384.89,195.16,483.39,772.06,50.62,1886.12
175,1,2024-06-23,384.63,141.44,185.21,1799.09,90.65,2601.02
176,1,2024-06-24,353.77,60.74,925.69,944.11,18.07,2302.38
177,1,2024-06-25,136.23,196.74,239.11,1759.48,48.32,2379.88
178,1,2024-06-26,9.74,187.72,734.25,1354.82,87.99,2374.52
179,1,2024-06-27,706.33,54.07,12.41,1766.75,90.66,2630.22
180,1,2024-06-28,936.25,46.04,5.54,745.59,75.89,1809.31
181,1,2024-06-29,386.55,171.74,829.41,908.37,49.2,2345.27
182,1,2024-06-30,167.73,122.16,952.26,1031.11,31.85,2305.11
183,1,2024-07-01,391.69,30.63,634.73,56.73,78.32,1192.1
184,1,2024-07-02,659.69,168.88,78.57,1456.57,40.78,2404.49
185,1,2024-07-03,71.93,170.66,821.42,1902.02,28.16,2994.19
186,1,2024-07-04,387.89,61.68,473.1,364.65,33.62,1320.94
187,1,2024-07-05,624.82,58.75,107.88,1325.44,64.71,2181.6
188,1,2024-07-06,584.63,81.58,42.09,1751.15,22.48,2481.93
189,1,2024-07-07,304.07,109.75,489.6,1125.08,2.34,2030.84
190,1,2024-07-08,652.85,85.3,326.25,1288.04,60.92,2413.36
191,1,2024-07-09,400.08,12.99,799.23,1057.25,31.54,2301.09
192,1,2024-07-10,882.32,63.55,571.45,417.09,65.96,2000.37
193,1,2024-07-11,408.85,193.97,765.49,549.35,41.64,1959.3
194,1,2024-07-12,195.88,30.04,834.39,990.36,93.14,2143.81
195,1,2024-07-13,388.54,116.7,324.36,494.05,36.68,1360.33
196,1,2024-07-14,460.4,100.98,365.6,1292.79,83.62,2303.39
197,1,2024-07-15,294.88,57.18,958.37,404.93,83.53,1798.89
198,1,2024-07-16,373.77,42.32,210.76,409.04,62.41,1098.3
199,1,2024-07-17,910.89,109.79,847.97,356.03,55.16,2279.84
200,1,2024-07-18,308.09,6.09,2.34,472.83,72.98,862.33
201,1,2024-07-19,851.25,78.77,743.46,218.03,28.13,1919.64
202,1,2024-07-20,59.93,179.65,344.35,1834.51,92.81,2511.25
203,1,2024-07-21,392.82,67.38,114.45,259.31,58.23,892.19
204,1,2024-07-22,390.37,70.71,305.32,647.74,66.01,1480.15
205,1,2024-07-23,319.63,62.45,481.5,604.05,48.58,1516.21
206,1,2024-07-24,576.59,29.26,65.83,236.8,81.91,990.39
207,1,2024-07-25,48.87,96.88,570.35,315.81,50.8,1082.71
208,1,2024-07-26,669.51,3.84,344.61,1764.85,30.61,2813.42
209,1,2024-07-27,398.0,84.4,667.28,771.36,81.45,2002.49
210,1,2024-07-28,304.65,91.68,933.09,189.71,68.12,1587.25
211,1,2024-07-29,873.11,61.42,446.85,1094.12,50.25,2525.75
212,1,2024-07-30,940.93,168.83,228.29,1412.11,65.54,2815.7
213,1,2024-07-31,220.87,146.63,313.75,757.89,12.45,1451.59
214,1,2024-08-01,146.58,115.91,31.88,494.56,97.6,886.53
215,1,2024-08-02,642.61,108.31,116.83,258.24,36.48,1162.47
216,1,2024-08-03,151.49,101.34,96.81,1095.93,65.41,1510.98
217,1,2024-08-04,360.12,47.87,931.47,1781.83,6.61,3127.9
218,1,2024-08-05,562.68,122.04,148.83,1378.14,27.36,2239.05
219,1,2024-08-06,671.25,38.28,243.94,926.05,74.16,1953.68
220,1,2024-08-07,190.91,143.74,84.88,653.58,33.16,1106.27
221,1,2024-08-08,140.82,65.05,93.63,1317.07,37.61,1654.18
222,1,2024-08-09,368.01,91.48,491.19,1857.53,59.69,2867.9
223,1,2024-08-10,841.68,68.95,844.41,1072.98,93.58,2921.6
224,1,2024-08-11,329.61,163.75,766.37,1491.34,7.06,2758.13
225,1,2024-08-12,440.29,118.79,307.69,1779.26,46.31,2692.34
226,1,2024-08-13,44.05,154.19,281.19,1866.42,44.01,2389.86
227,1,2024-08-14,175.45,64.83,912.81,285.55,79.32,1517.96
228,1,2024-08-15,564.23,65.47,332.46,1468.28,51.87,2482.31
229,1,2024-08-16,341.96,2.19,20.04,787.65,6.26,1158.1
230,1,2024-08-17,919.74,117.67,1.27,848.9,43.77,1931.35
231,1,2024-08-18,999.7,173.26,73.89,1309.29,48.44,2604.58
232,1,2024-08-19,839.41,56.72,358.84,1611.22,57.55,2923.74
233,1,2024-08-20,293.01,43.28,193.04,691.56,61.87,1282.76
234,1,2024-08-21,416.99,119.21,474.81,568.48,86.07,1665.56
235,1,2024-08-22,582.02,34.3,703.1,1827.41,5.28,3152.11
236,1,2024-08-23,809.63,17.05,665.2,1684.13,48.91,3224.92
237,1,2024-08-24,12.1,127.07,197.5,800.6,75.21,1212.48
238,1,2024-08-25,654.46,46.17,937.6,1707.47,79.85,3425.55
239,1,2024-08-26,343.83,61.89,842.55,1624.47,55.03,2927.77
240,1,2024-08-27,852.54,184.28,601.6,1422.61,39.8,3100.83
241,1,2024-08-28,85.69,38.63,378.76,672.58,84.98,1260.64
242,1,2024-08-29,301.57,170.71,308.84,297.88,9.59,1088.59
243,1,2024-08-30,934.33,116.58,459.63,542.42,17.36,2070.32
244,1,2024-08-31,44.03,52.12,684.33,980.95,55.73,1817.16
245,1,2024-09-01,712.35,198.77,316.76,888.49,95.23,2211.6
246,1,2024-09-02,565.36,139.88,972.56,1847.73,77.23,3602.76
247,1,2024-09-03,694.59,64.96,673.23,1938.99,26.41,3398.18
248,1,2024-09-04,379.94,47.19,240.6,798.61,27.89,1494.23
249,1,2024-09-05,318.91,120.4,120.58,730.58,49.72,1340.19
250,1,2024-09-06,220.97,151.33,499.47,1126.25,92.37,2090.39
251,1,2024-09-07,647.13,89.45,272.07,1697.28,98.5,2804.43
252,1,2024-09-08,934.62,111.11,600.45,1791.52,74.53,3512.23
253,1,2024-09-09,18.89,179.5,866.18,549.92,2.72,1617.21
254,1,2024-09-10,574.93,111.44,68.21,1109.13,48.23,1911.94
255,1,2024-09-11,305.44,105.0,602.03,1796.48,58.72,2867.67
256,1,2024-09-12,199.7,79.84,165.62,506.99,84.01,1036.16
257,1,2024-09-13,319.98,144.45,211.81,1803.85,17.92,2498.01
258,1,2024-09-14,85.36,43.71,858.05,1318.9,17.64,2323.66
259,1,2024-09-15,895.07,85.95,194.42,640.1,29.17,1844.71
260,1,2024-09-16,733.34,101.19,96.13,914.23,46.62,1891.51
261,1,2024-09-17,632.09,9.76,392.85,1784.35,49.13,2868.18
262,1,2024-09-18,30.2,188.29,993.38,17.46,20.0,1249.33
263,1,2024-09-19,828.38,6.08,69.89,265.84,19.3,1189.49
264,1,2024-09-20,646.95,94.29,617.09,1309.89,8.29,2676.51
265,1,2024-09-21,478.18,51.81,702.63,778.84,2.15,2013.61
266,1,2024-09-22,431.57,150.89,933.17,762.8,41.58,2320.01
267,1,2024-09-23,234.1,4.0,77.11,277.83,88.88,681.92
268,1,2024-09-24,970.95,87.96,582.12,1971.59,96.94,3709.56
269,1,2024-09-25,5.93,149.16,20.79,1401.01,33.16,1610.05
270,1,2024-09-26,847.8,91.9,323.16,1158.66,54.24,2475.76
271,1,2024-09-27,675.77,48.32,737.32,1201.0,43.78,2706.19
272,1,2024-09-28,332.29,75.34,631.42,1247.98,29.98,2317.01
273,1,2024-09-29,678.86,155.22,780.88,1455.54,47.25,3117.75
274,1,2024-09-30,85.17,58.47,702.16,1010.2,46.22,1902.22
275,1,2024-10-01,545.34,76.41,891.15,1690.71,46.99,3250.6
276,1,2024-10-02,505.66,37.18,603.63,976.22,20.03,2142.72
277,1,2024-10-03,983.58,110.17,190.64,1638.95,94.31,3017.65
278,1,2024-10-04,784.81,47.79,774.15,1198.25,23.76,2828.76
279,1,2024-10-05,348.94,70.13,564.29,1479.01,38.2,2500.57
280,1,2024-10-06,822.44,92.55,827.62,106.51,63.02,1912.14
281,1,2024-10-07,336.03,109.43,555.09,1839.52,26.23,2866.3
282,1,2024-10-08,994.83,197.06,348.87,768.38,26.03,2335.17
283,1,2024-10-09,82.79,193.92,650.97,1761.6,47.7,2736.98
284,1,2024-10-10,703.67,147.29,27.64,156.6,94.14,1129.34
285,1,2024-10-11,377.62,74.26,553.26,821.69,6.95,1833.78
286,1,2024-10-12,837.31,190.64,254.77,1266.03,22.68,2571.43
287,1,2024-10-13,123.06,88.9,982.44,668.12,96.32,1958.84
288,1,2024-10-14,185.74,47.76,928.36,1498.25,24.72,2684.83
289,1,2024-10-15,291.71,187.21,266.64,980.23,38.05,1763.84
290,1,2024-10-16,801.53,186.05,794.57,28.55,64.95,1875.65
291,1,2024-10-17,69.77,127.05,434.07,591.51,2.59,1224.99
292,1,2024-10-18,615.67,34.16,632.19,1884.25,73.35,3239.62
293,1,2024-10-19,284.08,149.78,4.52,1424.21,3.13,1865.72
294,1,2024-10-20,251.54,124.65,289.08,1894.94,23.71,2583.92
295,1,2024-10-21,933.16,123.72,90.67,877.07,73.76,2098.38
296,1,2024-10-22,378.29,55.92,581.66,299.35,79.25,1394.47
297,1,2024-10-23,539.2,165.74,254.65,60.22,12.57,1032.38
298,1,2024-10-24,655.18,147.25,525.08,127.5,15.8,1470.81
299,1,2024-10-25,709.52,19.93,375.6,243.73,99.24,1448.02
300,1,2024-10-26,877.45,81.59,124.14,1716.96,1.9,2802.04
301,1,2024-10-27,952.44,103.79,559.28,1328.04,55.5,2999.05
302,1,2024-10-28,838.26,156.51,496.58,725.94,91.74,2309.03
303,1,2024-10-29,624.11,142.91,173.67,121.49,52.58,1114.76
304,1,2024-10-30,276.79,140.0,841.82,694.0,65.63,2018.24
305,1,2024-10-31,199.98,122.34,754.6,87.3,96.34,1260.56
306,1,2024-11-01,601.55,66.27,976.43,1511.23,66.22,3221.7
307,1,2024-11-02,533.25,179.97,505.0,1507.16,52.48,2777.86
308,1,2024-11-03,699.37,57.95,623.75,111.55,12.45,1505.07
309,1,2024-11-04,288.65,85.03,526.43,645.65,10.26,1556.02
310,1,2024-11-05,166.99,150.32,497.51,885.07,15.89,1715.78
311,1,2024-11-06,945.12,179.6,450.78,1713.0,25.38,3313.88
312,1,2024-11-07,903.87,34.37,138.0,1327.38,61.06,2464.68
313,1,2024-11-08,621.34,0.94,219.6,1442.74,57.84,2342.46
314,1,2024-11-09,395.14,21.29,996.76,1729.31,67.48,3209.98
315,1,2024-11-10,465.34,198.57,436.11,1350.52,80.73,2531.27
316,1,2024-11-11,812.81,119.6,771.51,1061.31,90.56,2855.79
317,1,2024-11-12,1.89,101.29,486.28,377.68,54.16,1021.3
318,1,2024-11-13,453.61,128.88,696.7,810.89,3.88,2093.96
319,1,2024-11-14,298.96,19.69,289.46,896.61,54.03,1558.75
320,1,2024-11-15,73.73,50.31,367.65,1385.89,57.8,1935.38
321,1,2024-11-16,995.2,82.95,43.88,1361.9,83.57,2567.5
322,1,2024-11-17,499.1,70.12,635.51,445.34,2.47,1652.54
323,1,2024-11-18,173.28,128.53,545.39,1660.18,31.55,2538.93
324,1,2024-11-19,501.13,70.9,719.24,1769.8,27.9,3088.97
325,1,2024-11-20,838.65,191.83,104.36,1442.67,75.56,2653.07
326,1,2024-11-21,181.57,66.24,62.87,344.33,55.62,710.63
327,1,2024-11-22,89.69,106.95,331.19,1220.33,21.3,1769.46
328,1,2024-11-23,383.77,54.72,409.12,1677.85,77.56,2603.02
329,1,2024-11-24,878.77,110.67,9.34,421.59,34.88,1455.25
330,1,2024-11-25,42.24,59.03,903.03,1867.25,3.84,2875.39
331,1,2024-11-26,301.93,5.14,917.45,119.58,29.03,1373.13
332,1,2024-11-27,545.55,55.05,938.93,311.98,59.59,1911.1
333,1,2024-11-28,566.46,106.0,988.94,1087.31,12.05,2760.76
334,1,2024-11-29,152.04,5.83,616.21,1650.01,66.57,2490.66
335,1,2024-11-30,615.85,56.36,92.99,1284.99,29.37,2079.56
336,1,2024-12-01,8.3,21.89,58.77,512.4,25.12,626.48
337,1,2024-12-02,687.71,148.26,117.89,1304.34,30.9,2289.1
338,1,2024-12-03,451.25,38.34,477.42,766.93,96.14,1830.08
339,1,2024-12-04,703.41,114.1,733.87,816.58,13.15,2381.11
340,1,2024-12-05,619.04,177.91,337.05,1849.34,67.4,3050.74
341,1,2024-12-06,744.71,129.77,713.45,609.76,57.4,2255.09
342,1,2024-12-07,269.95,105.14,230.07,706.72,88.65,1400.53
343,1,2024-12-08,161.38,45.08,76.63,744.73,50.25,1078.07
344,1,2024-12-09,38.46,76.8,403.29,1979.72,11.2,2509.47
345,1,2024-12-10,452.71,187.66,344.39,1379.96,41.87,2406.59
346,1,2024-12-11,294.53,175.72,11.86,20.39,87.22,589.72
347,1,2024-12-12,949.78,198.14,475.12,1358.73,38.36,3020.13
348,1,2024-12-13,953.55,62.04,155.99,1998.45,1.3,3171.33
349,1,2024-12-14,969.81,27.58,103.58,657.05,49.32,1807.34
350,1,2024-12-15,979.81,87.94,281.21,1312.77,34.32,2696.05
351,1,2024-12-16,120.72,14.3,658.73,1754.18,91.27,2639.2
352,1,2024-12-17,740.78,110.81,644.67,285.69,71.48,1853.43
353,1,2024-12-18,1.84,149.97,694.79,1331.73,76.57,2254.9
354,1,2024-12-19,675.91,149.39,515.38,386.05,56.77,1783.5
355,1,2024-12-20,8.93,34.85,320.46,1755.68,98.7,2218.62
356,1,2024-12-21,938.64,175.6,143.15,352.17,75.92,1685.48
357,1,2024-12-22,770.3,71.28,890.48,1450.1,16.86,3199.02
358,1,2024-12-23,944.99,71.87,112.46,1224.14,74.23,2427.69
359,1,2024-12-24,60.92,171.03,347.57,478.9,35.5,1093.92
360,1,2024-12-25,91.26,161.69,292.96,1699.05,2.89,2247.85
361,1,2024-12-26,892.75,142.09,944.96,563.69,90.03,2633.52
362,1,2024-12-27,119.18,15.71,667.1,1004.13,42.59,1848.71
363,1,2024-12-28,736.97,164.24,87.79,714.2,73.77,1776.97
364,1,2024-12-29,154.87,9.53,42.8,38.69,26.1,271.99
365,1,2024-12-30,350.92,48.38,754.23,1876.06,74.61,3104.2
366,2,2024-01-01,510.59,159.77,393.29,630.28,86.53,1780.46
367,2,2024-01-02,653.75,194.03,664.87,1170.61,41.87,2725.13
368,2,2024-01-03,813.68,85.99,317.85,1822.48,8.37,3048.37
369,2,2024-01-04,774.99,11.59,737.51,953.02,18.64,2495.75
370,2,2024-01-05,760.64,103.72,428.26,439.01,19.6,1751.23
371,2,2024-01-06,535.64,123.92,473.72,1899.48,93.3,3126.06
372,2,2024-01-07,77.77,142.27,793.32,1085.42,88.71,2187.49
373,2,2024-01-08,717.71,139.89,388.53,747.83,78.56,2072.52
374,2,2024-01-09,287.11,137.38,789.75,117.27,91.07,1422.58
375,2,2024-01-10,237.98,121.01,330.22,698.67,51.07,1438.95
376,2,2024-01-11,337.31,34.39,314.51,196.69,93.81,976.71
377,2,2024-01-12,346.67,184.57,28.21,1239.83,83.82,1883.1
378,2,2024-01-13,914.36,113.77,340.45,692.01,5.66,2066.25
379,2,2024-01-14,49.56,170.52,629.01,527.74,51.22,1428.05
380,2,2024-01-15,613.82,168.91,548.69,420.39,68.46,1820.27
381,2,2024-01-16,775.75,117.44,39.45,1392.61,85.9,2411.15
